UF,Municipio,PIB,Populacao
MG,Ibiraci,  728.305 ,  14.128 
MG,Ibirité,  3.203.506 ,  184.030 
MG,Ibitiúra de Minas,  77.638 ,  3.497 
MG,Ibituruna,  59.358 ,  3.003 
MG,Icaraí de Minas,  111.447 ,  12.200 
MG,Igarapé,  967.312 ,  44.561 
MG,Igaratinga,  578.190 ,  11.146 
MG,Iguatama,  587.430 ,  7.901 
MG,Ijaci,  494.882 ,  6.667 
MG,Ilicínea,  265.384 ,  12.511 
MG,Imbé de Minas,  101.174 ,  6.976 
MG,Inconfidentes,  132.576 ,  7.387 
MG,Indaiabira,  87.312 ,  7.328 
MG,Indianópolis,  875.663 ,  7.009 
MG,Ingaí,  115.702 ,  2.785 
MG,Inhapim,  404.796 ,  24.020 
MG,Inhaúma,  145.789 ,  6.352 
MG,Inimutaba,  90.737 ,  7.605 
MG,Ipaba,  180.315 ,  18.926 
MG,Ipanema,  344.577 ,  20.133 
MG,Ipatinga,  17.609.177 ,  267.333 
MG,Ipiaçu,  183.084 ,  4.229 
MG,Ipuiúna,  188.530 ,  10.156 
MG,Iraí de Minas,  301.551 ,  7.067 
MG,Itabira,  14.971.929 ,  121.717 
MG,Itabirinha,  136.423 ,  11.637 
MG,Itabirito,  13.139.828 ,  52.996 
MG,Itacambira,  61.721 ,  5.447 
MG,Itacarambi,  226.363 ,  18.175 
MG,Itaguara,  402.464 ,  13.510 
MG,Itaipé,  121.602 ,  12.910 
MG,Itajubá,  3.288.441 ,  97.782 
MG,Itamarandiba,  647.509 ,  35.130 
MG,Itamarati de Minas,  67.336 ,  4.395 
MG,Itambacuri,  341.052 ,  23.207 
MG,Itambé do Mato Dentro,  35.922 ,  2.032 
MG,Itamogi,  236.365 ,  10.122 
MG,Itamonte,  1.182.177 ,  15.844 
MG,Itanhandu,  470.229 ,  15.511 
MG,Itanhomi,  151.296 ,  12.259 
MG,Itaobim,  308.690 ,  20.997 
MG,Itapagipe,  514.269 ,  15.511 
